ingested_at,method,status,section,mock_relative_url,detail
2026-03-30T07:31:08.226998,pasted_html,ingested,mock-drafts,/mock-drafts/2026/nfl-mocks-2026-tarringo-basile-vaughan?date=2026-03-28,Parsed from pasted page source HTML.
2026-03-30T07:31:53.885997,pasted_html,ingested,mock-drafts,/mock-drafts/2026/a-to-z-sports-2026-tyler-forness?date=2026-03-29,Parsed from pasted page source HTML.
2026-03-30T07:33:33.253390,pasted_html,ingested,teams,/team-mock-drafts/2026/dolphins-phin-phanatic-2026-shayne-kubas?date=2026-03-28,Parsed from pasted page source HTML.
2026-03-30T07:48:07.621718,pasted_html,ingested,team-mock-drafts,/team-mock-drafts/2026/dolphins-draft-countdown-2026-brad-menendez?date=2026-03-28,Parsed from pasted page source HTML.
2026-03-30T07:49:50.593436,pasted_html,ingested,team-mock-drafts,/team-mock-drafts/2026/raiders-just-blog-baby-2026-nick-popio?date=2026-03-28,Parsed from pasted page source HTML.
2026-03-30T10:56:35.451892,pasted_html,ingested,mock-drafts,/mock-drafts/2026/nfl-spin-zone-2026-lou-scataglia?date=2026-03-29,Parsed from pasted page source HTML.
2026-03-30T10:57:37.462167,pasted_html,ingested,mock-drafts,/mock-drafts/2026/the-regional-2026-zack-hodges?date=2026-03-29,Parsed from pasted page source HTML.
2026-03-30T10:58:01.591551,pasted_html,ingested,mock-drafts,/mock-drafts/2026/sportsnaut-2026-andrew-buller-russ?date=2026-03-29,Parsed from pasted page source HTML.
2026-03-30T10:58:47.541335,pasted_html,ingested,mock-drafts,/mock-drafts/2026/the-sun-2026-ryan-sanudo?date=2026-03-29,Parsed from pasted page source HTML.
2026-03-30T10:59:31.709202,pasted_html,ingested,mock-drafts,/mock-drafts/2026/espn-2026-matt-miller?date=2026-03-30,Parsed from pasted page source HTML.
2026-03-30T11:00:05.629350,pasted_html,ingested,mock-drafts,/mock-drafts/2026/nfl-trade-rumors-2026-nate-bouda?date=2026-03-30,Parsed from pasted page source HTML.
2026-03-30T11:00:42.147305,pasted_html,ingested,mock-drafts,/mock-drafts/2026/si-2026-justin-melo?date=2026-03-30,Parsed from pasted page source HTML.
2026-03-30T11:01:31.699479,pasted_html,ingested,mock-drafts,/mock-drafts/2026/panthers-wire-2026-anthony-rizzuti?date=2026-03-30,Parsed from pasted page source HTML.
2026-03-30T11:02:05.690879,pasted_html,ingested,mock-drafts,/mock-drafts/2026/usa-today-2026-ayrton-ostly?date=2026-03-30,Parsed from pasted page source HTML.
2026-03-30T11:02:54.232166,pasted_html,ingested,mock-drafts,/mock-drafts/2026/wolf-sports-2026-dylan-chappine?date=2026-03-30,Parsed from pasted page source HTML.
2026-03-30T11:03:43.093828,pasted_html,ingested,mock-drafts,/mock-drafts/2026/pro-football-network-2026-ryan-moran?date=2026-03-30,Parsed from pasted page source HTML.
2026-03-30T11:04:09.969260,pasted_html,replaced,mock-drafts,/mock-draft-2026,Parsed from pasted page source HTML.
2026-03-30T11:06:21.944979,pasted_html,ingested,team-mock-drafts,/team-mock-drafts/2026/chiefs-twsn-2026-steve-bradshaw?date=2026-03-28,Parsed from pasted page source HTML.
2026-03-30T11:06:53.132448,pasted_html,ingested,team-mock-drafts,/team-mock-drafts/2026/steelers-last-word-on-sports-2026-jason-klingensmith?date=2026-03-28,Parsed from pasted page source HTML.
2026-03-30T11:07:22.802884,pasted_html,ingested,team-mock-drafts,/team-mock-drafts/2026/bears-windy-city-gridiron-2026-khari-thompson?date=2026-03-28,Parsed from pasted page source HTML.
2026-03-30T11:08:25.250648,pasted_html,ingested,team-mock-drafts,/team-mock-drafts/2026/lions-sidelion-report-2026-mike-luciano?date=2026-03-29,Parsed from pasted page source HTML.
2026-03-30T11:08:56.527097,pasted_html,ingested,team-mock-drafts,/team-mock-drafts/2026/packers-lombardi-ave-2026-mike-luciano?date=2026-03-29,Parsed from pasted page source HTML.
2026-03-30T11:09:31.567763,pasted_html,ingested,team-mock-drafts,/team-mock-drafts/2026/giants-big-blue-view-2026-ed-valentine?date=2026-03-29,Parsed from pasted page source HTML.
2026-03-30T11:10:01.140581,pasted_html,ingested,team-mock-drafts,/team-mock-drafts/2026/commanders-riggos-rag-2026-dean-jones?date=2026-03-29,Parsed from pasted page source HTML.
2026-03-30T11:10:27.283597,pasted_html,ingested,team-mock-drafts,/team-mock-drafts/2026/buccaneers-pewter-plank-2026-josh-crysler?date=2026-03-29,Parsed from pasted page source HTML.
2026-03-30T11:10:57.573492,pasted_html,ingested,team-mock-drafts,/team-mock-drafts/2026/buccaneers-draft-countdown-2026-brian-bosarge?date=2026-03-29,Parsed from pasted page source HTML.
2026-03-30T11:12:12.568539,pasted_html,ingested,team-mock-drafts,/team-mock-drafts/2026/jets-usa-today-2026-ayrton-ostly?date=2026-03-29,Parsed from pasted page source HTML.
2026-03-30T11:12:47.183608,pasted_html,ingested,team-mock-drafts,/team-mock-drafts/2026/patriots-si-2026-mike-d-abate?date=2026-03-29,Parsed from pasted page source HTML.
2026-03-30T11:13:21.337378,pasted_html,ingested,team-mock-drafts,/team-mock-drafts/2026/cardinals-cards-wire-2026-jess-root?date=2026-03-29,Parsed from pasted page source HTML.
2026-03-30T11:14:23.512792,pasted_html,ingested,team-mock-drafts,/team-mock-drafts/2026/falcons-si-2026-garrett-chapman?date=2026-03-29,Parsed from pasted page source HTML.
2026-03-30T11:14:50.777003,pasted_html,ingested,team-mock-drafts,/team-mock-drafts/2026/patriots-pats-pulpit-2026-matt-lane?date=2026-03-30,Parsed from pasted page source HTML.
2026-03-30T11:15:18.043243,pasted_html,ingested,team-mock-drafts,/team-mock-drafts/2026/chiefs-arrowhead-addict-2026-lyle-graversen?date=2026-03-30,Parsed from pasted page source HTML.
2026-03-30T11:16:07.717729,pasted_html,ingested,team-mock-drafts,/team-mock-drafts/2026/lions-pride-of-detroit-2026-erik-schlitt?date=2026-03-30,Parsed from pasted page source HTML.
2026-03-30T11:16:23.642524,pasted_html,ingested,team-mock-drafts,/team-mock-drafts/2026/lions-si-2026-vito-chirco?date=2026-03-30,Parsed from pasted page source HTML.
2026-03-30T11:16:38.768209,pasted_html,ingested,team-mock-drafts,/team-mock-drafts/2026/cowboys-inside-the-star-2026-mark-heaney?date=2026-03-30,Parsed from pasted page source HTML.
2026-04-01T09:31:24.771307,pasted_html,ingested,mock-drafts,/mock-drafts/2026/ff-today-2026-justin-bales?date=2026-03-30,Parsed from pasted page source HTML.
2026-04-01T09:32:52.327023,pasted_html,ingested,mock-drafts,/mock-drafts/2026/bleacher-nation-2026-matt-rooney?date=2026-03-30,Parsed from pasted page source HTML.
2026-04-01T09:33:21.180084,pasted_html,replaced,mock-drafts,/mock-drafts/2026/pro-football-network-2026-ryan-moran?date=2026-03-30,Parsed from pasted page source HTML.
2026-04-01T09:34:37.722595,pasted_html,ingested,mock-drafts,/mock-drafts/2026/sb-nation-2026-mark-schofield?date=2026-03-30,Parsed from pasted page source HTML.
2026-04-01T09:34:57.861213,pasted_html,ingested,mock-drafts,/mock-drafts/2026/cbs-2026-ryan-wilson?date=2026-03-30,Parsed from pasted page source HTML.
